,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
470,20161206,3459.1533,3466.2417,3477.5901,3456.8067,3469.4073,-10.254,-0.2956,115529090,125727753.2
471,20161207,3475.7473,3458.3687,3475.7473,3445.7561,3459.1533,16.594,0.4797,114345103,115282194.2
472,20161208,3470.1426,3481.8067,3484.3402,3466.512,3475.7473,-5.6047,-0.1613,117383922,119188508.7
473,20161209,3493.7004,3464.8733,3507.9276,3461.7612,3470.1426,23.5578,0.6789,150303308,152674867.7
474,20161212,3409.1794,3489.2683,3495.8022,3400.793,3493.7004,-84.521,-2.4192,187467751,199163540.8
475,20161213,3405.0355,3394.2072,3416.2147,3370.5956,3409.1794,-4.1439,-0.1216,121105097,124454188.7
476,20161214,3378.9453,3399.4113,3412.2795,3378.2656,3405.0355,-26.0902,-0.7662,124007744,126182669.4
477,20161215,3340.4338,3363.8597,3378.0367,3327.1429,3378.9453,-38.5115,-1.1397,114960660,121507811.5
478,20161216,3346.0305,3335.3625,3356.2916,3330.4928,3340.4338,5.5967,0.1675,90775422,98112206.85
479,20161219,3328.9827,3342.3449,3344.8584,3324.9986,3346.0305,-17.0478,-0.5095,81640678,86095693.84
480,20161220,3309.0641,3328.2985,3329.1022,3289.2682,3328.9827,-19.9186,-0.5983,87569592,88527345.89
481,20161221,3338.536,3313.7451,3342.4761,3313.7451,3309.0641,29.4719,0.8906,108254995,106205485.2
482,20161222,3335.672,3335.1218,3340.3628,3322.7196,3338.536,-2.864,-0.0858,92277249,92564877.57
483,20161223,3307.5991,3333.4009,3334.8937,3300.8843,3335.672,-28.0729,-0.8416,97444713,99575473.23
484,20161226,3322.4006,3293.2236,3322.4212,3267.0481,3307.5991,14.8015,0.4475,89793982,95493219.94
485,20161227,3316.3852,3319.2061,3330.2324,3315.8318,3322.4006,-6.0154,-0.1811,75486359,79617133.03
486,20161228,3301.8887,3315.7526,3320.5467,3293.1737,3316.3852,-14.4965,-0.4371,69000437,71759839.57
487,20161229,3297.7648,3297.036,3312.113,3288.0959,3301.8887,-4.1239,-0.1249,70087923,75972960.43
